ID,POS,Name,TM,ORG,LG,Lev,DOB,Age,HT,WT,B,T,Nat. Pop.,Loc. Pop.,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,INJ,INJ,Left,Schl,CommSch,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,ECV,ETY,MLY,MLD,SECY,SECD,PROY,OPT,OY,ON40,IC,WAIV,DFA,DEM,DEM,Sign,R5,FAT,ROOK,ACT,Sct,SctAcc,Risk,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm,Relation,Interest
74047,SP,Jimmy Adams,-,-,-,-,07/25/2021,21,6' 0',175 lbs,L,L,Unkn.,Unkn.,25,35,H,N,N,N,N,N,Unknown,Normal,-,-,-,Hofstra University,-,Good,CO Junior,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,25,25,20,25,30,20,80,25,Normal,Normal,Normal,35,35,35,45,30,40,35,35,50,35,35,30,35,45,30,45,45,45,45,40,40,45,30,55,-,40,45,-,-,-,-,-,-,-,-,-,-,-,-,45,55,-,-,4,FB,88-90,90-92,3/4,Normal,50,55,25,25,25,30,30,55,20,45,45,50,45,-,-,-,-,-,-,-,-,45,-,35,-,-,-,45,-,40,25,25,20,35,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 23rd   2042,High,Low,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
72806,CL,Joel Adams,-,-,-,-,05/01/2025,17,6' 0',170 lbs,R,R,Unkn.,Unkn.,25,70,H,N,H,N,H,N,Unknown,Normal,-,-,-,St. Raymond Boys,-,Average,HS Senior,20,25,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,50,40,30,25,35,30,75,25,Groundball,Pull,Pull,35,35,30,45,30,35,35,30,45,30,35,35,30,45,30,75,55,55,50,55,45,80,-,-,-,30,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,NEU,94-96,99-101,OTT,Normal,30,60,20,20,20,35,30,40,30,40,40,45,50,-,-,-,-,-,-,-,-,50,-,40,-,-,-,40,-,35,25,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 20th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Very Weak,Very Low
71892,SP,Josh Addison,-,-,-,-,04/06/2025,17,6' 2',175 lbs,R,R,Unkn.,Unkn.,20,35,N,N,N,N,N,L,Unknown,Normal,-,-,-,TMI-Episcopal,-,Average,HS Senior,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,30,30,30,25,75,25,Normal,Normal,Normal,35,20,20,45,20,35,20,20,45,20,35,20,20,45,20,65,40,30,50,35,40,80,20,55,-,-,-,-,-,30,80,-,-,-,-,-,-,-,-,-,-,-,-,3,EX FB,92-94,95-97,3/4,Normal,45,45,20,20,20,30,30,45,25,40,45,45,50,-,-,-,-,-,-,-,-,50,-,40,-,-,-,35,-,30,30,25,20,25,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 17th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
72866,1B,Mike Addison,-,-,-,-,08/22/2025,17,6' 4',200 lbs,L,L,Unkn.,Unkn.,20,40,H,N,H,N,H,N,Unknown,Normal,-,-,-,Royal Palm Beach High School,-,Average,HS Senior,25,20,25,20,20,25,20,25,25,20,20,25,20,25,25,20,20,30,50,55,45,40,45,60,55,20,Groundball,Pull,Pull,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,20,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,20,20,20,20,20,35,25,40,20,45,40,45,-,-,30,-,-,-,-,-,-,45,-,45,-,-,-,40,-,35,35,40,40,40,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 6th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Average,Very Low
72924,SP,Mike Adkins,-,-,-,-,02/11/2025,17,6' 0',170 lbs,R,R,Unkn.,Unkn.,20,35,N,N,N,H,N,N,Unknown,Normal,-,-,-,Sts. John & Paul,-,Average,HS Senior,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20,25,25,25,25,35,30,80,20,Normal,Normal,Normal,25,25,20,40,20,20,25,20,40,20,25,25,20,45,20,45,45,45,45,40,30,55,20,45,-,-,-,25,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,NEU,89-91,94-96,3/4,Normal,75,60,20,20,20,30,30,40,25,45,35,50,45,-,-,-,-,-,-,-,-,45,-,35,-,-,-,45,-,35,30,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 7th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
73026,RP,Freddy Adorno,-,-,-,-,02/02/2022,20,6' 1',180 lbs,R,R,Unkn.,Unkn.,20,30,N,N,H,N,H,H,Unknown,Normal,-,-,-,University of Louisville,-,Great,CO Junior,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,25,25,20,20,25,25,60,25,Normal,Normal,Normal,40,30,20,45,25,40,30,20,45,25,35,30,20,45,25,45,40,25,45,40,40,50,-,-,-,-,-,-,-,-,-,35,45,-,-,-,-,25,45,-,-,-,-,3,FB,90-92,92-94,OTT,Normal,30,30,25,30,25,30,30,45,30,50,40,50,45,-,-,-,-,-,-,-,-,45,-,35,-,-,-,55,30,45,25,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 10th   2042,High,Low,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Very Weak,Very Low
73051,SS,Ronnie Aguilar,-,-,-,-,08/13/2021,21,6' 2',190 lbs,L,R,Unkn.,Unkn.,30,40,L,N,N,N,N,H,Unknown,Normal,-,-,-,Bellarmine University,-,Fair,CO Junior,40,40,35,35,40,45,40,40,35,30,40,40,40,40,35,35,40,45,50,55,45,45,55,60,30,20,Normal,Normal,Normal,20,20,20,25,20,20,20,20,25,20,20,20,20,20,20,20,25,25,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,84-86,84-86,SIDE,Normal,20,20,25,25,25,60,50,55,70,50,45,60,-,-,-,-,-,45,-,-,-,80,-,75,60,50,50,55,30,50,45,40,45,35,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 6th   2042,Average,Low,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
71649,SP,A.J. Ahrendsen,-,-,-,-,11/03/2024,17,6' 2',180 lbs,R,R,Unkn.,Unkn.,20,30,L,N,L,N,L,L,Unknown,Normal,-,-,-,Venture Academy,-,Average,HS Senior,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,35,35,30,30,45,30,45,25,Normal,Normal,Spray,30,20,20,40,20,30,20,20,40,20,30,20,20,40,20,45,40,40,45,35,35,55,20,50,45,-,-,-,-,25,50,-,-,-,-,-,-,-,-,-,-,-,-,4,FB,91-93,94-96,3/4,Normal,50,35,20,25,25,30,30,35,30,35,40,35,50,-,-,-,-,-,-,-,-,50,-,40,-,-,-,30,-,25,20,25,25,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 5th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Very Weak,Very Low
71759,SP,Josh Alexander,-,-,-,-,03/23/2025,17,6' 3',180 lbs,R,R,Unkn.,Unkn.,20,45,N,N,N,N,N,N,Unknown,Normal,-,-,-,Thomas Dale,-,Average,HS Senior,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,25,30,30,30,35,25,Normal,Normal,Normal,20,35,25,45,30,20,30,25,40,30,20,35,25,45,30,35,55,50,50,55,25,40,20,45,-,20,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,NEU,86-88,88-90,3/4,Normal,55,40,20,20,20,30,25,45,30,35,35,40,45,-,-,-,-,-,-,-,-,45,-,40,-,-,-,35,-,25,25,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 12th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Average,Very Low
71654,RF,Kevin Alexander,-,-,-,-,12/11/2024,17,6' 6',205 lbs,R,R,Unkn.,Unkn.,20,60,N,N,N,N,H,N,Unknown,Normal,-,-,-,Dumas,-,Average,HS Senior,25,25,30,30,20,30,25,25,30,30,25,30,25,25,30,30,20,30,50,55,80,55,45,70,65,65,Line Drive,Normal,Pull,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,20,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,88-90,3/4,Normal,20,20,30,25,25,35,35,45,30,45,50,55,-,-,-,-,-,-,20,-,30,55,-,50,-,25,-,50,25,45,60,45,40,45,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 15th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
