ID,POS,Name,TM,ORG,LG,Lev,DOB,Age,HT,WT,B,T,Nat. Pop.,Loc. Pop.,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,INJ,INJ,Left,Schl,CommSch,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,ECV,ETY,MLY,MLD,SECY,SECD,PROY,OPT,OY,ON40,IC,WAIV,DFA,DEM,DEM,Sign,R5,FAT,ROOK,ACT,Sct,SctAcc,Risk,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm,Relation,Interest
74485,2B,Alex Acevedo,-,-,-,-,02/01/2027,15,6' 4',185 lbs,L,R,Unkn.,Unkn.,20,80,N,L,N,H,N,N,Unknown,Durable,-,-,-,Memphis Academy of Science and Engineering,-,Average,HS Sophomore,30,30,30,30,25,30,30,30,30,25,25,30,30,30,30,30,25,30,65,75,80,70,60,80,45,25,Normal,Normal,Spray,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,30,30,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,20,20,20,20,20,50,40,35,45,40,35,35,-,-,-,30,-,-,-,-,-,75,-,70,40,25,25,35,-,25,50,40,40,35,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 10th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
74426,SP,Josh Adams,-,-,-,-,12/02/2026,15,6' 4',190 lbs,L,L,Unkn.,Unkn.,35,80,N,N,H,N,N,H,Unknown,Normal,-,-,-,Highland Tech,-,Average,HS Sophomore,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,30,30,30,40,30,45,20,Normal,Normal,Normal,40,40,35,50,40,40,40,35,50,40,40,40,35,50,40,80,80,80,55,80,45,80,30,80,80,-,-,40,80,25,80,-,-,-,-,-,-,-,-,-,-,-,-,5,GB,91-93,95-97,OTT,GB'er,40,65,30,25,25,30,25,40,20,35,40,40,40,-,-,-,-,-,-,-,-,40,-,35,-,-,-,35,-,30,25,25,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 26th   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
74440,SP,Vic Aguilar,-,-,-,-,11/06/2026,15,6' 1',175 lbs,R,L,Unkn.,Unkn.,25,65,L,L,H,H,N,H,Unknown,Normal,-,-,-,Landmark Christian Academy,-,Average,HS Sophomore,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,30,35,35,30,55,30,Normal,Spray,Spray,25,30,30,45,25,25,30,30,45,25,25,30,30,45,25,45,55,75,45,65,-,-,20,50,45,30,45,-,-,-,-,30,50,-,-,-,-,-,-,-,-,-,-,4,NEU,89-91,90-92,3/4,Normal,60,55,20,20,20,30,40,50,20,45,45,45,55,-,-,-,-,-,-,-,-,55,-,40,-,-,-,45,-,40,30,25,20,30,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 15th   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
74573,SP,Vinny Aguirre,-,-,-,-,07/21/2026,16,6' 0',170 lbs,R,R,Unkn.,Unkn.,25,80,N,N,N,N,N,N,Unknown,Normal,-,-,-,Salem,-,Average,HS Sophomore,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,30,30,35,45,25,60,25,Normal,Normal,Pull,30,30,30,45,25,30,30,30,45,25,30,30,30,45,25,50,60,80,50,65,30,50,20,75,70,-,-,-,-,-,-,30,65,-,-,-,-,-,-,-,-,-,-,4,NEU,88-90,91-93,OTT,Normal,60,50,20,20,20,25,30,40,20,45,40,40,40,-,-,-,-,-,-,-,-,40,-,35,-,-,-,45,-,35,25,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 27th   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
74539,SP,Angel Alvarez,-,-,-,-,01/20/2027,15,6' 2',175 lbs,L,L,Unkn.,Unkn.,20,50,N,N,N,N,N,N,Unknown,Normal,-,-,-,National Baseball Academy,-,Fair,HS Sophomore,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,35,35,30,30,45,25,Flyball,Pull,Normal,30,20,20,45,20,30,20,20,45,20,30,20,20,45,20,65,50,35,50,55,40,80,20,80,-,-,-,-,-,25,45,-,-,-,-,-,-,-,-,-,-,-,-,3,EX FB,89-91,93-95,3/4,Normal,55,65,20,20,20,30,25,60,20,30,40,45,40,-,-,-,-,-,-,-,-,40,-,35,-,-,-,25,-,-,25,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 13th   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Very Weak,Very Low
74463,C,Jonathan Amiott,-,-,-,-,05/31/2026,16,5' 10',165 lbs,S,R,Unkn.,Unkn.,20,55,N,L,N,N,N,N,Unknown,Normal,-,-,-,Ridge High School,-,Average,HS Sophomore,25,25,30,25,25,25,25,25,30,25,25,25,25,25,30,25,25,25,50,50,50,50,50,50,55,25,Normal,Spray,Normal,20,20,20,25,20,20,20,20,25,20,20,20,20,25,20,20,30,30,25,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,SIDE,Normal,20,20,50,45,35,30,25,65,25,50,40,40,-,25,20,-,-,-,-,-,-,50,40,35,-,-,-,45,25,35,30,35,35,45,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 18th   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Very Weak,Very Low
74417,CL,Chris Andrade,-,-,-,-,05/17/2026,16,6' 0',170 lbs,R,L,Unkn.,Unkn.,30,80,N,L,N,H,N,H,Unknown,Normal,-,-,-,Choate Rosemary Hall,-,Average,HS Sophomore,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,35,30,35,30,30,30,25,Normal,Normal,Normal,35,35,25,45,35,40,40,25,50,35,35,35,25,45,30,80,80,55,50,80,45,80,-,-,-,30,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,NEU,92-94,96-98,3/4,Normal,40,70,20,20,20,25,25,45,20,35,40,40,35,-,-,-,-,-,-,-,-,35,-,30,-,-,-,35,-,25,25,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 12th   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Average,Very Low
74637,SP,Omar Anguiano,-,-,-,-,09/23/2027,14,5' 10',165 lbs,L,L,Unkn.,Unkn.,20,55,L,L,N,H,L,N,Unknown,Normal,-,-,-,Grove City,-,Average,HS Sophomore,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,35,30,35,25,60,20,Normal,Normal,Normal,25,20,25,45,20,30,20,25,45,20,25,20,25,40,20,65,50,60,50,50,35,60,20,70,-,25,45,-,-,-,-,30,75,-,-,-,-,-,-,-,-,-,-,4,NEU,89-91,92-94,3/4,Normal,45,70,20,30,30,35,30,55,20,50,50,55,50,-,-,-,-,-,-,-,-,50,-,40,-,-,-,55,35,50,25,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 1st   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
74428,SP,Beau Arentz,-,-,-,-,03/20/2027,15,6' 1',175 lbs,S,L,Unkn.,Unkn.,20,75,N,N,N,N,N,N,Unknown,Normal,-,-,-,Medora,-,Average,HS Sophomore,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,30,35,35,35,30,50,25,Normal,Normal,Spray,30,30,20,45,20,30,30,20,45,20,30,30,20,45,20,70,60,50,50,65,45,80,20,75,45,-,-,-,-,20,80,-,-,-,-,-,-,-,-,-,-,-,-,4,FB,92-94,95-97,3/4,Normal,55,55,20,20,20,35,35,55,20,35,35,45,55,-,-,-,-,-,-,-,-,55,-,45,-,-,-,30,-,25,30,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 12th   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
74434,RP,Luis Aristizabal,-,-,-,-,09/24/2027,14,6' 1',175 lbs,R,R,Unkn.,Unkn.,20,40,N,L,H,N,H,N,Unknown,Normal,-,-,-,Northeast Christian,-,Average,HS Sophomore,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,40,35,30,25,60,30,70,30,Normal,Normal,Normal,30,25,20,45,20,30,25,20,45,20,30,25,20,45,20,55,50,30,45,50,35,65,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,FB,89-91,93-95,3/4,Normal,30,60,20,20,20,25,35,35,20,30,35,45,40,-,-,-,-,-,-,-,-,40,-,35,-,-,-,25,-,-,35,30,30,30,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 16th   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Average,Very Low
