ID,POS,Name,TM,ORG,LG,Lev,DOB,Age,HT,WT,B,T,Nat. Pop.,Loc. Pop.,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,INJ,INJ,Left,Schl,CommSch,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,ECV,ETY,MLY,MLD,SECY,SECD,PROY,OPT,OY,ON40,IC,WAIV,DFA,DEM,DEM,Sign,R5,FAT,ROOK,ACT,Sct,SctAcc,Risk,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm,Relation,Interest
63052,SP,Steve Abbate,-,-,-,-,06/10/2016,26,6' 3',200 lbs,L,L,Unkn.,Unkn.,35,35,N,H,N,N,N,N,Normal,Normal,-,-,-,North Springs,East Tennessee State University,Average,-,50,55,40,25,30,45,50,50,40,25,30,45,55,50,40,25,30,50,55,50,40,25,30,45,55,20,Line Drive,Normal,Normal,45,40,45,50,40,45,45,45,50,40,45,40,45,50,40,50,40,45,50,40,65,80,35,50,-,-,-,-,-,-,-,-,-,-,-,40,45,-,-,45,70,-,-,4,FB,96-98,96-98,3/4,Power,55,75,20,20,20,25,30,40,20,40,30,30,40,-,-,-,-,-,-,-,-,40,-,35,-,-,-,30,-,-,20,25,20,20,Free agent,0,-,0,-,0,0,0,0,0,7,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 8th   2042,Very High,Low,Minor,Draft Pick,Jun. 3rd   2035,Major League Baseball,San Diego,2035,10,9,279,0,-,Weak,Very Low
55615,SP,Jim Abbott,-,-,-,-,04/04/2011,31,6' 2',200 lbs,L,L,Known,Known,35,35,N,N,N,N,N,L,Normal,Normal,-,-,-,Monroe College,-,Poor,-,25,20,35,30,20,30,20,25,30,30,20,30,20,25,35,30,20,30,20,25,35,30,20,30,65,20,Flyball,Normal,Normal,50,45,40,55,40,50,45,40,55,45,50,40,40,55,40,50,45,40,55,40,55,55,-,-,60,55,55,-,-,-,-,-,-,-,-,35,35,-,-,-,-,-,-,4,EX FB,93-95,93-95,3/4,Normal,65,55,20,20,20,20,30,45,20,35,25,35,30,-,-,-,-,-,-,-,-,30,-,30,-,-,-,20,-,-,20,20,20,25,Free agent,0,-,0,-,0,3,565,4,842,11,2,0,-,-,-,-,-,-,Easy,No,-,No,No,Sep. 3rd   2041,Average,Very Low,Major,None,Dec. 31st   2035,Major League Baseball,Philadelphia,2030,10,18,321,0,-,Weak,Very Low
66493,SS,Javy Abeyta,-,-,-,-,02/07/2020,22,6' 3',195 lbs,R,R,Unkn.,Unkn.,25,25,N,N,N,N,H,L,Normal,Normal,-,-,-,-,-,-,-,35,35,30,25,25,40,35,40,30,25,30,40,30,35,30,25,25,40,35,40,30,25,30,45,50,20,Normal,Normal,Spray,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,20,30,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,83-85,3/4,Normal,20,20,20,20,20,60,65,60,55,35,40,80,-,-,20,-,-,40,-,-,20,80,-,75,65,60,55,40,-,40,45,35,30,30,Free agent,0,-,0,-,0,0,0,0,0,5,0,0,-,-,-,-,-,-,Easy,No,-,No,No,May 8th   2042,High,Very Low,Minor,Scout Discovery,Apr. 18th   2036,Major League Baseball,-,0,0,0,0,2036,Washington,Weak,Very Low
61708,2B,Ricky Abonza,-,-,-,-,10/24/2015,26,6' 0',195 lbs,R,R,Unkn.,Unkn.,30,30,N,L,L,N,L,N,Normal,Normal,-,-,-,-,-,-,-,40,35,45,35,45,45,40,40,45,40,50,45,35,40,40,35,45,45,35,45,45,35,45,50,55,50,Normal,Normal,Normal,20,20,20,30,20,20,20,20,30,20,20,20,20,35,20,20,20,20,30,20,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,NEU,85-87,86-88,SIDE,Normal,20,25,20,20,20,45,45,30,50,40,50,20,-,-,45,35,-,-,-,-,-,70,-,55,35,-,20,30,-,-,55,70,35,55,Free agent,0,-,0,-,0,0,0,0,0,6,0,0,-,-,-,-,-,-,Easy,No,-,No,No,May 18th   2042,High,Very Low,Minor,Minor FA signing,Apr. 28th   2036,Dominican Rookie League,-,0,0,0,0,2032,-,Very Weak,Very Low
66502,SP,Angel Abrego,-,-,-,-,03/22/2020,22,6' 0',180 lbs,L,R,Unkn.,Unkn.,20,25,L,L,L,N,L,L,Unmotivated,Normal,-,-,-,-,-,-,-,25,25,25,20,25,30,20,25,20,20,20,25,25,25,25,20,25,30,25,30,30,20,35,35,55,20,Normal,Pull,Normal,35,35,20,45,30,30,35,20,45,30,35,35,20,45,30,40,40,20,45,35,40,40,40,45,-,-,-,25,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,FB,89-91,90-92,OTT,Normal,35,40,20,20,20,25,30,45,25,40,25,25,40,-,-,-,-,-,-,-,-,40,-,35,-,-,-,25,-,-,25,25,20,30,Free agent,0,-,0,-,0,0,0,0,0,5,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 1st   2042,Very High,Low,Minor,Scout Discovery,Apr. 28th   2036,Major League Baseball,-,0,0,0,0,2036,San Diego,Very Weak,Very Low
60760,LF,Jonathan Acevedo,-,-,-,-,08/26/2014,27,6' 4',205 lbs,R,L,Unkn.,Unkn.,35,35,N,N,N,N,N,N,Normal,Normal,-,-,-,-,-,-,-,45,45,50,35,50,45,50,45,55,40,50,45,45,45,50,35,45,45,45,45,50,40,50,45,50,50,Normal,Normal,Normal,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,GB,83-85,83-85,OTT,GB'er,20,25,20,20,20,25,25,40,20,60,60,60,-,-,-,-,-,-,65,-,60,35,-,30,-,-,-,65,45,60,60,70,60,70,Free agent,0,-,0,-,0,0,0,0,0,10,0,0,-,-,-,-,-,-,Easy,No,-,No,No,May 24th   2042,Very High,Very Low,Minor,Minor FA signing,Jan. 28th   2041,Major League Baseball,-,0,0,0,0,2031,Atlanta,Average,Very Low
72367,LF,Jorge Acevedo,-,-,-,-,04/21/2024,18,5' 11',175 lbs,L,L,Unkn.,Unkn.,20,30,N,N,N,H,L,L,Unknown,Normal,-,-,-,-,-,-,-,20,20,20,20,25,25,20,20,20,20,20,25,20,25,20,25,25,25,35,45,40,40,40,50,50,20,Normal,Pull,Pull,20,20,20,25,20,20,20,20,25,20,20,20,20,25,20,20,30,25,25,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,86-88,86-88,SIDE,Normal,20,20,20,20,20,40,45,55,20,50,55,50,-,-,-,-,-,-,25,25,20,70,-,50,-,-,-,50,30,45,40,45,45,35,Free agent,0,-,0,-,0,0,0,0,0,1,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jun. 10th   2042,Average,Medium,Major,Scout Discovery,Aug. 13th   2040,Major League Baseball,-,0,0,0,0,2040,Houston,Very Weak,Very Low
72416,SP,Leo Acevedo,-,-,-,-,05/16/2024,18,6' 2',180 lbs,R,R,Unkn.,Unkn.,20,30,U,U,U,U,U,U,Unknown,Normal,-,-,-,-,-,-,-,20,25,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,40,30,20,40,20,20,55,25,Normal,Normal,Pull,30,20,20,40,20,30,20,20,40,20,30,20,20,40,20,40,45,30,45,45,30,40,20,45,50,30,45,-,-,30,45,-,-,-,-,-,-,-,-,-,-,-,-,5,FB,88-90,89-91,3/4,Normal,50,40,20,20,20,30,30,45,20,45,45,40,45,-,-,-,-,-,-,-,-,45,-,40,-,-,-,45,-,40,40,45,45,40,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Sep. 29th   2041,Low,Extreme,Major,Scout Discovery,Sep. 28th   2040,Major League Baseball,-,0,0,0,0,2040,St. Louis,Weak,Very Low
61338,SP,Steve Acevedo,-,-,-,-,05/24/2016,26,6' 5',200 lbs,S,R,Unkn.,Insig.,35,35,H,N,H,L,H,L,Captain,Normal,-,-,-,Independence High School,Ave Maria University,Average,-,45,45,35,20,40,40,45,45,35,20,40,40,45,45,35,20,40,40,45,45,35,20,40,45,70,20,Groundball,Spray,Pull,45,45,50,50,40,45,45,45,50,40,45,45,50,50,40,50,45,50,50,40,55,65,30,45,-,-,-,-,-,-,-,50,55,-,-,-,-,-,-,-,-,-,-,3,NEU,95-97,95-97,3/4,Power,45,45,20,20,20,35,25,55,30,25,25,35,45,-,35,-,-,-,-,-,-,45,-,45,-,-,-,-,-,-,25,20,20,25,Free agent,0,-,0,-,0,0,0,0,0,8,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 20th   2042,Very High,Very Low,Minor,Minor FA signing,Dec. 1st   2039,Major League Baseball,New York,2034,14,5,384,0,-,Weak,Very Low
55555,SP,Jim Adams,-,-,-,-,04/19/2011,31,6' 4',205 lbs,R,R,Ex.Pop.,Ex.Pop.,40,40,N,N,N,L,N,N,Normal,Normal,-,-,-,Sprague,Stanford University,Average,-,40,45,30,20,20,40,45,45,30,20,20,40,45,40,30,20,20,40,45,40,30,20,20,40,75,25,Groundball,Spray,Normal,45,45,45,55,45,45,45,45,50,40,45,45,45,55,45,45,45,45,55,45,50,50,55,55,-,-,-,50,50,-,-,30,30,-,-,-,-,-,-,-,-,-,-,4,EX FB,94-96,94-96,3/4,Normal,70,25,20,20,20,35,30,60,20,40,30,30,55,-,-,-,-,-,-,-,-,55,-,45,-,30,-,30,-,-,20,20,25,25,Free agent,0,-,0,-,0,4,722,5,896,13,3,0,-,-,-,-,-,-,Easy,No,-,No,No,Nov. 3rd   2041,Average,Very Low,Major,Minor FA signing,Apr. 15th   2041,Major League Baseball,Baltimore,2029,7,28,246,0,-,Very Weak,Very Low
